State,Field,Money,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Mathematical Sciences,20411,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Mathematical Sciences,1403,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Mathematical Sciences,19,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Mathematical Sciences,6303,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Philosophy and Religious Studies,28454,,,,,,,,,,,,,,,,,,,,,,
Victoria,Philosophy and Religious Studies,21919,,,,,,,,,,,,,,,,,,,,,,
Queensland,Philosophy and Religious Studies,8125,,,,,,,,,,,,,,,,,,,,,,
South Australia,Philosophy and Religious Studies,1692,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Philosophy and Religious Studies,9962,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Philosophy and Religious Studies,1655,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Philosophy and Religious Studies,41,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Philosophy and Religious Studies,2615,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Physical Sciences,154332,,,,,,,,,,,,,,,,,,,,,,
Victoria,Physical Sciences,95971,,,,,,,,,,,,,,,,,,,,,,
Queensland,Physical Sciences,46265,,,,,,,,,,,,,,,,,,,,,,
South Australia,Physical Sciences,12686,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Physical Sciences,23695,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Physical Sciences,1272,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Physical Sciences,252,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Physical Sciences,106847,,,,,,,,,,,,,,,,,,,,,,
New South Wales,Psychology,122500,,,,,,,,,,,,,,,,,,,,,,
Victoria,Psychology,156320,,,,,,,,,,,,,,,,,,,,,,
Queensland,Psychology,77240,,,,,,,,,,,,,,,,,,,,,,
South Australia,Psychology,20421,,,,,,,,,,,,,,,,,,,,,,
Western Australia,Psychology,18615,,,,,,,,,,,,,,,,,,,,,,
Tasmania,Psychology,4240,,,,,,,,,,,,,,,,,,,,,,
Northern Territory,Psychology,4211,,,,,,,,,,,,,,,,,,,,,,
Australian Capital Territory,Psychology,11043,,,,,,,,,,,,,,,,,,,,,,
